raiser_position,defender_position,defender_archetype,hand,avg_ev_bb
BTN,SB,Nit,K5o,1.490344849585196
BTN,SB,Nit,K3o,1.5033317232124113
BTN,SB,Nit,Q8o,1.481884345593525
BTN,SB,Nit,T7s,1.481884345593525
BTN,SB,Nit,J8o,1.4903448495851963
BTN,SB,Nit,97s,1.4831534211922754
BTN,SB,Nit,T8s,1.490344849585196
BTN,SB,Nit,Q4s,1.4734238416018537
BTN,SB,Nit,J4s,1.481884345593525
BTN,SB,Nit,J3s,1.4951673368604486
BTN,SB,Nit,96s,1.4831322699322964
BTN,SB,Nit,J7o,1.481884345593525
BTN,SB,Nit,Q5o,1.4734238416018537
BTN,SB,Nit,J4o,1.4988053535768673
BTN,SB,Nit,98s,1.4914870176240715
BTN,SB,Nit,T9s,1.4920369503835305
BTN,SB,Nit,K2o,1.4988053535768673
BTN,SB,Nit,Q4o,1.490344849585196
BTN,SB,Nit,22,1.4968382863988037
BTN,SB,Nit,98o,1.4916773789638844
BTN,SB,Nit,Q2s,1.4734238416018537
BTN,SB,Nit,T8o,1.4903448495851963
BTN,SB,Nit,Q3o,1.4867068328687774
BTN,SB,Nit,J6o,1.481884345593525
BTN,SB,Nit,J5o,1.481884345593525
BTN,SB,Nit,J2s,1.481884345593525
BTN,SB,Nit,T4s,1.481884345593525
BTN,SB,Nit,T3s,1.4949981267806152
BTN,SB,Nit,97o,1.4830053623724213
BTN,SB,Nit,87s,1.4818843455935247
BTN,SB,Nit,96o,1.4827726985126504
BTN,SB,Nit,T4o,1.4988053535768673
BTN,SB,Nit,T5s,1.481884345593525
BTN,SB,Nit,T6s,1.481884345593525
BTN,SB,Nit,85s,1.4818843455935247
BTN,SB,Nit,J3o,1.494828916700782
BTN,SB,Nit,76s,1.4734238416018537
BTN,SB,Nit,95s,1.4828996060725252
BTN,SB,Nit,T7o,1.481884345593525
BTN,SB,Nit,T2s,1.481884345593525
BTN,SB,Nit,T5o,1.481884345593525
BTN,SB,Nit,93s,1.4962248998594074
BTN,SB,Nit,95o,1.4832380262321923
BTN,SB,Nit,75s,1.4734238416018537
BTN,SB,Nit,Q2o,1.4818843455935247
BTN,SB,Nit,87o,1.4818843455935247
BTN,SB,Nit,86s,1.4818843455935247
BTN,SB,Nit,94s,1.483470690091963
BTN,SB,Nit,85o,1.4818843455935247
BTN,SB,Nit,92s,1.4831745724522547
BTN,SB,Nit,T3o,1.4949346730006778
BTN,SB,Nit,86o,1.4818843455935247
BTN,SB,Nit,T6o,1.481884345593525
BTN,SB,Nit,93o,1.4961191435595118
BTN,SB,Nit,J2o,1.490344849585196
BTN,SB,Nit,65s,1.486156900109319
BTN,SB,Nit,76o,1.4734238416018537
BTN,SB,Nit,74s,1.4734238416018537
BTN,SB,Nit,73s,1.4864107152290689
BTN,SB,Nit,83s,1.4818843455935247
BTN,SB,Nit,84o,1.490344849585196
BTN,SB,Nit,T2o,1.490344849585196
BTN,SB,Nit,84s,1.4818843455935247
BTN,SB,Nit,54s,1.4734238416018537
BTN,SB,Nit,53s,1.503522084552224
BTN,SB,Nit,75o,1.4734238416018537
BTN,SB,Nit,64s,1.4734238416018537
BTN,SB,Nit,92o,1.4818843455935247
BTN,SB,Nit,82s,1.4818843455935247
BTN,SB,Nit,74o,1.490344849585196
BTN,SB,Nit,64o,1.490344849585196
BTN,SB,Nit,43s,1.4865799253089023
